id,center,mass,dl,ll,type,displacement,shape_file,contps
696,"[0.02714564801353253, 0.01559209668563412]",3.786902e-08,"[0, 6.6869115516e-07, 0]","[0, 0, 0]",mortar,"[0.00011209401803852594, -8.224373586479804e-06, -0.005795666964980023]",element_696.json,[]
697,"[0.06808234100134854, 0.016710175427520693]",3.3137216000000004e-08,"[0, 5.851369601280001e-07, 0]","[0, 0, 0]",mortar,"[0.00010248741577797102, 5.5621271189644534e-05, 0.000300894586154524]",element_697.json,[]
698,"[0.06735227772436754, 0.01703406256666874]",2.9831998e-08,"[0, 5.26773420684e-07, 0]","[0, 0, 0]",mortar,"[0.00010293308730830765, 5.5287437495464147e-05, -0.001037229545699533]",element_698.json,[]
699,"[0.02647810377586076, 0.016118517882696443]",2.9831998e-08,"[0, 5.26773420684e-07, 0]","[0, 0, 0]",mortar,"[7.885095545555607e-05, -2.665583602962643e-05, -0.05352986658571949]",element_699.json,[]
700,"[0.036489623231120434, 0.016310693154106506]",2.9831998e-08,"[0, 5.26773420684e-07, 0]","[0, 0, 0]",mortar,"[0.00010865563036295801, -2.526355976761608e-05, -0.004742260624973895]",element_700.json,[]
701,"[0.046273501520454105, 0.017093187669770776]",2.9831998e-08,"[0, 5.26773420684e-07, 0]","[0, 0, 0]",mortar,"[4.130016261652621e-05, -2.7286239464651266e-05, 0.08240602007555038]",element_701.json,[]
702,"[0.056342207392959615, 0.017166770411427636]",2.9831998e-08,"[0, 5.26773420684e-07, 0]","[0, 0, 0]",mortar,"[6.337224141096702e-05, -2.100753338291055e-05, 0.03833546651874023]",element_702.json,[]
703,"[0.006473759844192759, 0.016060154698510184]",2.9831998e-08,"[0, 5.26773420684e-07, 0]","[0, 0, 0]",mortar,"[0.0001803366741119164, -6.728769118752629e-05, -0.0707780702961754]",element_703.json,[]
704,"[0.01657809275752452, 0.01608791371591782]",2.9831998e-08,"[0, 5.26773420684e-07, 0]","[0, 0, 0]",mortar,"[0.0001212041123305531, -2.3087380576245178e-05, -0.08392987292930672]",element_704.json,[]
705,"[0.07735645154252156, 0.01715448766845266]",2.9831998e-08,"[0, 5.26773420684e-07, 0]","[0, 0, 0]",mortar,"[0.00010291552252008258, 6.996971438283672e-05, -0.0011469826192657968]",element_705.json,[]
